distributor_id,segment,total_pos,sellout_amount,sellout_units,FLAGSHIP_DISPLAY,REGULAR_DISPLAY,SLIM_DISPLAY,PALLET_COVER,SHELF_LINER,COUNTER_DISPLAY,LIGHT_KIT,distributor_rank
D009,CASH_AND_CARRY,2,517366.81,31685.32,0,2,0,2,2,0,2,1
D009,HYPERMARKET,16,4747947.84,303968.4,16,32,16,0,16,0,16,1
D009,WHOLESALE,22,8586205.73,572574.41,0,44,22,0,0,0,22,1
D007,CASH_AND_CARRY,6,1654892.93,113417.24,0,6,0,6,6,0,6,2
D007,HYPERMARKET,8,2226857.94,143972.41999999998,8,16,8,0,8,0,8,2
D007,WHOLESALE,16,6943067.3,490071.69,0,32,16,0,0,0,16,2
D005,CASH_AND_CARRY,3,876134.12,51958.049999999996,0,3,0,3,3,0,3,3
D005,HYPERMARKET,13,3722490.72,233710.37,13,26,13,0,13,0,13,3
D005,WHOLESALE,15,6116103.27,401493.79,0,30,15,0,0,0,15,3
D002,CASH_AND_CARRY,6,1512804.62,97196.20999999999,0,6,0,6,6,0,6,4
D002,HYPERMARKET,5,1520928.35,96086.85,5,10,5,0,5,0,5,4
D002,LARGE_SUPERMARKET,2,433136.6,28590.96,0,4,0,0,0,0,2,4
D002,WHOLESALE,19,5976105.92,389691.5,0,38,19,0,0,0,19,4
D015,CASH_AND_CARRY,4,1044824.12,77343.34999999999,0,4,0,4,4,0,4,5
D015,HYPERMARKET,10,3204697.59,221439.89,10,20,10,0,10,0,10,5
D015,LARGE_SUPERMARKET,2,502816.19,31770.15,0,4,0,0,0,0,2,5
D015,WHOLESALE,9,3921217.11,272360.16,0,18,9,0,0,0,9,5
D012,CASH_AND_CARRY,7,1863376.51,128962.3,0,7,0,7,7,0,7,6
D012,HYPERMARKET,8,2101021.19,136720.05,8,16,8,0,8,0,8,6
D012,LARGE_SUPERMARKET,4,826905.15,54866.94,0,8,0,0,0,0,4,6
D012,WHOLESALE,11,3873156.8,257651.48,0,22,11,0,0,0,11,6
D013,CASH_AND_CARRY,6,1440412.14,108407.92,0,6,0,6,6,0,6,7
D013,HYPERMARKET,11,2912980.56,186511.45,11,22,11,0,11,0,11,7
D013,LARGE_SUPERMARKET,1,220443.72,11057.39,0,2,0,0,0,0,1,7
D013,WHOLESALE,12,3978980.14,246684.42,0,24,12,0,0,0,12,7
D008,CASH_AND_CARRY,3,827809.06,53371.86,0,3,0,3,3,0,3,8
D008,HYPERMARKET,5,1632470.66,116181.78,5,10,5,0,5,0,5,8
D008,WHOLESALE,14,5760207.15,378120.68,0,28,14,0,0,0,14,8
D010,CASH_AND_CARRY,4,1073104.05,68650.33,0,4,0,4,4,0,4,9
D010,HYPERMARKET,9,2527967.83,158395.21,9,18,9,0,9,0,9,9
D010,WHOLESALE,12,3809606.94,252477.69,0,24,12,0,0,0,12,9
D011,CASH_AND_CARRY,5,1477901.04,100234.76,0,5,0,5,5,0,5,10
D011,HYPERMARKET,11,3141412.8,203704.24,11,22,11,0,11,0,11,10
D011,WHOLESALE,6,2541277.45,138158.7,0,12,6,0,0,0,6,10
D006,CASH_AND_CARRY,7,1659141.44,110184.55,0,7,0,7,7,0,7,11
D006,HYPERMARKET,4,904955.65,57594.94,4,8,4,0,4,0,4,11
D006,LARGE_SUPERMARKET,4,832596.2999999999,53785.23,0,8,0,0,0,0,4,11
D006,WHOLESALE,7,2458606.62,164418.54,0,14,7,0,0,0,7,11
D014,CASH_AND_CARRY,4,988715.3,59868.38,0,4,0,4,4,0,4,12
D014,HYPERMARKET,5,1365046.84,88417.16,5,10,5,0,5,0,5,12
D014,LARGE_SUPERMARKET,1,181206.34,13634.18,0,2,0,0,0,0,1,12
D014,WHOLESALE,5,1736417.72,117838.74,0,10,5,0,0,0,5,12
D003,HYPERMARKET,2,687361.07,57818.4,2,4,2,0,2,0,2,13
D003,WHOLESALE,7,3057848.37,194705.92,0,14,7,0,0,0,7,13
D004,CASH_AND_CARRY,1,235364.21,13812.69,0,1,0,1,1,0,1,14
D004,HYPERMARKET,3,1028976.6,60181.78,3,6,3,0,3,0,3,14
D004,WHOLESALE,5,2038791.39,152008.95,0,10,5,0,0,0,5,14
D001,HYPERMARKET,1,258782.95,16524.65,1,2,1,0,1,0,1,15
D001,LARGE_SUPERMARKET,1,202429.91,13691.51,0,2,0,0,0,0,1,15
D001,WHOLESALE,6,2249291.24,157121.19,0,12,6,0,0,0,6,15
