pos_code,distributor_id,segment
P000001,D001,SMALL_SUPERMARKET
P000002,D001,CASH_AND_CARRY
P000003,D001,TRADITIONAL
P000004,D001,LARGE_SUPERMARKET
P000005,D001,PHARMACY
P000006,D001,TRADITIONAL
P000007,D001,WHOLESALE
P000008,D001,LARGE_SUPERMARKET
P000009,D001,SMALL_SUPERMARKET
P000010,D001,SMALL_SUPERMARKET
P000011,D001,PHARMACY
P000012,D001,TRADITIONAL
P000013,D001,WHOLESALE
P000014,D001,SMALL_SUPERMARKET
P000015,D001,LARGE_SUPERMARKET
P000016,D001,TRADITIONAL
P000017,D001,HYPERMARKET
P000018,D001,WHOLESALE
P000019,D001,TRADITIONAL
P000020,D001,TRADITIONAL
P000021,D001,SMALL_SUPERMARKET
P000022,D001,PHARMACY
P000023,D001,CASH_AND_CARRY
P000024,D001,TRADITIONAL
P000025,D001,LARGE_SUPERMARKET
P000026,D001,SMALL_SUPERMARKET
P000027,D001,HYPERMARKET
P000028,D001,LARGE_SUPERMARKET
P000029,D001,TRADITIONAL
P000030,D001,TRADITIONAL
P000031,D001,PHARMACY
P000032,D001,SMALL_SUPERMARKET
P000033,D001,SMALL_SUPERMARKET
P000034,D001,SMALL_SUPERMARKET
P000035,D001,LARGE_SUPERMARKET
P000036,D001,LARGE_SUPERMARKET
P000037,D001,SMALL_SUPERMARKET
P000038,D001,LARGE_SUPERMARKET
P000039,D001,TRADITIONAL
P000040,D001,SMALL_SUPERMARKET
P000041,D001,WHOLESALE
P000042,D001,TRADITIONAL
P000043,D001,SMALL_SUPERMARKET
P000044,D001,WHOLESALE
P000045,D001,WHOLESALE
P000046,D001,SMALL_SUPERMARKET
P000047,D001,SMALL_SUPERMARKET
P000048,D001,TRADITIONAL
P000049,D001,LARGE_SUPERMARKET
P000050,D001,LARGE_SUPERMARKET
P000051,D001,HYPERMARKET
P000052,D001,WHOLESALE
P000053,D001,TRADITIONAL
P000054,D001,TRADITIONAL
P000055,D001,WHOLESALE
P000056,D001,SMALL_SUPERMARKET
P000057,D001,TRADITIONAL
P000058,D001,LARGE_SUPERMARKET
P000059,D001,LARGE_SUPERMARKET
P000060,D001,TRADITIONAL
P000061,D001,SMALL_SUPERMARKET
P000062,D001,TRADITIONAL
P000063,D001,TRADITIONAL
P000064,D001,TRADITIONAL
P000065,D001,TRADITIONAL
P000066,D001,TRADITIONAL
P000067,D001,SMALL_SUPERMARKET
P000068,D001,HYPERMARKET
P000069,D001,SMALL_SUPERMARKET
P000070,D001,LARGE_SUPERMARKET
P000071,D001,SMALL_SUPERMARKET
P000072,D001,CASH_AND_CARRY
P000073,D002,SMALL_SUPERMARKET
P000074,D002,HYPERMARKET
P000075,D002,SMALL_SUPERMARKET
P000076,D002,SMALL_SUPERMARKET
P000077,D002,TRADITIONAL
P000078,D002,TRADITIONAL
P000079,D002,WHOLESALE
P000080,D002,TRADITIONAL
P000081,D002,SMALL_SUPERMARKET
P000082,D002,WHOLESALE
P000083,D002,LARGE_SUPERMARKET
P000084,D002,HYPERMARKET
P000085,D002,LARGE_SUPERMARKET
P000086,D002,TRADITIONAL
P000087,D002,SMALL_SUPERMARKET
P000088,D002,LARGE_SUPERMARKET
P000089,D002,TRADITIONAL
P000090,D002,LARGE_SUPERMARKET
P000091,D002,TRADITIONAL
P000092,D002,SMALL_SUPERMARKET
P000093,D002,SMALL_SUPERMARKET
P000094,D002,SMALL_SUPERMARKET
P000095,D002,TRADITIONAL
P000096,D002,SMALL_SUPERMARKET
P000097,D002,LARGE_SUPERMARKET
P000098,D002,LARGE_SUPERMARKET
P000099,D002,PHARMACY
P000100,D002,PHARMACY
P000101,D002,TRADITIONAL
P000102,D002,SMALL_SUPERMARKET
P000103,D002,PHARMACY
P000104,D002,TRADITIONAL
P000105,D002,TRADITIONAL
P000106,D002,SMALL_SUPERMARKET
P000107,D002,SMALL_SUPERMARKET
P000108,D002,LARGE_SUPERMARKET
P000109,D002,PHARMACY
P000110,D002,SMALL_SUPERMARKET
