distributor_id,date,pos_code,units,amount
D001,2025-11-27,P000001,609.38,5468.64
D001,2026-02-10,P000001,382.69,5680.79
D001,2026-03-05,P000001,193.01,4426.49
D001,2026-05-25,P000001,264.91,4630.44
D001,2026-06-27,P000001,479.37,8414.44
D001,2025-11-09,P000002,1507.62,27342.26
D001,2025-12-08,P000002,2244.65,31860.95
D001,2026-02-08,P000002,1454.26,30337.68
D001,2026-03-09,P000002,884.5,15485.09
D001,2026-04-18,P000002,915.07,22734.57
D001,2025-11-22,P000003,123.94,2655.04
D001,2025-12-03,P000003,92.2,1915.21
D001,2026-01-22,P000003,108.31,1437.89
D001,2026-03-13,P000003,66.98,1164.7
D001,2026-04-12,P000003,70.99,1565.56
D001,2025-11-25,P000004,1401.04,31175.29
D001,2025-12-16,P000004,3081.14,35577.8
D001,2026-01-26,P000004,1580.27,12708.76
D001,2026-02-24,P000004,1125.21,24617.42
D001,2026-03-12,P000004,1647.72,24163.31
D001,2026-04-24,P000004,4048.27,32430.35
D001,2026-05-21,P000004,1772.24,31263.86
D001,2026-06-14,P000004,2074.67,26404.82
D001,2025-11-13,P000005,196.83,4824.66
D001,2025-12-25,P000005,524.78,5734.16
D001,2026-01-17,P000005,568.69,9584.96
D001,2026-02-24,P000005,568.34,9435.17
D001,2026-03-11,P000005,1168.04,12392.85
D001,2026-04-23,P000005,942.3,7802.61
D001,2026-05-09,P000005,563.92,11271.14
D001,2026-06-22,P000005,653.46,6943.35
D001,2025-12-04,P000006,266.34,3150.58
D001,2026-01-09,P000006,140.54,3507.94
D001,2026-02-18,P000006,58.12,1318.28
D001,2026-03-15,P000006,214.24,2779.11
D001,2026-04-14,P000006,78.21,1856.55
D001,2026-05-17,P000006,247.54,4100.88
D001,2025-12-16,P000007,2903.17,47058.78
D001,2026-01-23,P000007,3685.26,38281.18
D001,2026-02-17,P000007,1973.07,26595.87
D001,2026-03-11,P000007,1780.99,36812.65
D001,2026-04-17,P000007,1616.24,34691.6
D001,2026-05-11,P000007,2054.0,44391.4
D001,2026-06-11,P000007,2621.89,55712.65
D001,2025-11-08,P000008,3653.84,34622.32
D001,2025-12-21,P000008,1743.19,39711.27
D001,2026-02-24,P000008,3334.21,34043.67
D001,2026-03-21,P000008,1503.42,35938.31
D001,2026-04-01,P000008,1382.97,15741.37
D001,2026-05-14,P000008,2468.19,33487.61
D001,2025-11-17,P000009,1313.12,14070.81
D001,2025-12-07,P000009,326.18,6057.33
D001,2026-01-08,P000009,394.49,7638.82
D001,2026-02-25,P000009,496.13,9640.54
D001,2026-03-18,P000009,613.58,14975.89
D001,2026-04-09,P000009,656.81,11831.3
D001,2026-05-02,P000009,227.9,4940.3
D001,2026-06-04,P000009,1111.89,9466.14
D001,2025-11-23,P000010,408.08,5693.03
D001,2025-12-21,P000010,344.48,7787.27
D001,2026-01-09,P000010,551.46,6316.12
D001,2026-02-25,P000010,636.03,6802.3
D001,2026-04-12,P000010,101.14,2370.89
D001,2026-06-10,P000010,217.78,3296.51
D001,2025-11-06,P000011,257.4,3634.14
D001,2025-12-25,P000011,254.23,3528.59
D001,2026-02-22,P000011,402.46,5122.78
D001,2026-03-27,P000011,532.95,5812.97
D001,2026-04-12,P000011,491.16,4718.79
D001,2026-05-10,P000011,105.08,1939.44
D001,2026-06-11,P000011,175.76,1681.77
D001,2025-11-17,P000012,383.34,5017.87
D001,2025-12-02,P000012,105.15,1867.43
D001,2026-01-18,P000012,313.09,3319.63
D001,2026-02-09,P000012,166.62,3412.67
D001,2026-04-24,P000012,324.37,6754.62
D001,2026-05-24,P000012,231.15,4999.82
D001,2025-11-05,P000013,2457.79,55220.65
D001,2025-12-12,P000013,2560.77,62359.92
D001,2026-01-15,P000013,4183.0,87289.38
D001,2026-03-26,P000013,7660.36,83068.55
D001,2026-05-22,P000013,3863.76,83180.96
D001,2026-06-12,P000013,3062.9,69100.39
D001,2025-11-24,P000014,541.57,6635.83
D001,2025-12-24,P000014,841.04,7941.63
D001,2026-01-18,P000014,230.58,4789.77
D001,2026-02-13,P000014,745.61,9490.5
D001,2026-04-11,P000014,282.56,3830.83
D001,2026-05-03,P000014,503.34,10786.73
D001,2026-06-08,P000014,383.5,7384.31
D001,2025-12-18,P000015,995.93,21383.83
D001,2026-01-22,P000015,5061.67,47227.45
D001,2026-03-21,P000015,1950.83,46548.03
D001,2026-04-06,P000015,1343.6,31942.24
D001,2026-05-26,P000015,1239.28,24622.63
D001,2026-06-23,P000015,4630.8,38879.99
D001,2025-11-05,P000016,185.58,3940.3
D001,2025-12-08,P000016,497.22,4109.49
D001,2026-01-06,P000016,634.25,5291.19
D001,2026-02-17,P000016,249.23,4661.41
D001,2026-03-26,P000016,529.52,5474.44
D001,2026-04-09,P000016,299.76,4593.84
D001,2026-05-11,P000016,170.42,3350.24
D001,2026-06-03,P000016,204.36,3815.79
D001,2025-11-15,P000017,1107.75,13960.55
D001,2025-12-17,P000017,726.13,13516.39
D001,2026-01-13,P000017,973.41,15567.85
D001,2026-02-27,P000017,695.87,13677.42
D001,2026-03-02,P000017,844.65,16558.19
D001,2026-04-02,P000017,811.72,14885.42
D001,2026-05-26,P000017,541.09,10817.84
D001,2026-06-14,P000017,996.92,15161.46
D001,2025-11-08,P000018,5801.09,68094.0
D001,2025-12-12,P000018,3220.59,64431.53
D001,2026-01-03,P000018,2912.3,56762.07
D001,2026-02-08,P000018,2682.94,36246.78
D001,2026-03-16,P000018,1373.28,21889.67
D001,2026-04-23,P000018,3649.17,36111.66
D001,2026-06-04,P000018,2109.52,51050.03
D001,2025-11-13,P000019,105.48,2483.85
D001,2025-12-20,P000019,64.93,1608.79
D001,2026-01-14,P000019,172.15,2122.87
D001,2026-02-04,P000019,93.74,1583.64
D001,2026-04-24,P000019,85.99,1272.73
D001,2026-05-04,P000019,84.13,1832.02
D001,2026-06-14,P000019,109.37,1571.0
D001,2025-12-19,P000020,483.9,8077.44
D001,2026-01-15,P000020,517.25,7535.43
D001,2026-02-11,P000020,294.26,5079.69
D001,2026-03-24,P000020,503.31,5890.31
D001,2026-04-24,P000020,451.92,5208.43
D001,2026-05-03,P000020,270.16,5967.09
D001,2025-11-04,P000021,1055.81,9093.07
D001,2025-12-08,P000021,692.94,9580.38
